          18           2  -31.9139996      -71.1019974      0.328508228     l, k, lat, lon, s
          28          25  -31.7159996      -71.5619965      0.316090047     l, k, lat, lon, s
          31          19  -31.6669998      -71.4369965      0.299821109     l, k, lat, lon, s
          31          27  -31.6609993      -71.5999985      0.514563680     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.496928334     l, k, lat, lon, s
          38          11  -31.5470009      -71.2679977      0.270953387     l, k, lat, lon, s
          38          61  -31.5060005      -72.2839966      0.667689860     l, k, lat, lon, s
          53          39  -31.2539997      -71.8219986      0.896537185     l, k, lat, lon, s
          54          24  -31.2490005      -71.5169983      0.227649152     l, k, lat, lon, s
          56           5  -31.2269993      -71.1299973      0.307814598     l, k, lat, lon, s
          59           2  -31.1749992      -71.0670013      0.264793515     l, k, lat, lon, s
          68          20  -30.9990005      -71.4229965      0.195370987     l, k, lat, lon, s
          75          17  -30.8759995      -71.3560028      0.302947223     l, k, lat, lon, s
          84          35  -30.6989994      -71.7099991       1.00000000     l, k, lat, lon, s
          85          26  -30.6879997      -71.5279999      0.189453959     l, k, lat, lon, s
         103          43  -30.3500004      -71.8519974      0.926468670     l, k, lat, lon, s
         109          70  -30.2180004      -72.3870010      0.645429313     l, k, lat, lon, s
         114           2  -30.1840000      -71.0199966      0.378339827     l, k, lat, lon, s
         115          55  -30.1240005      -72.0800018      0.832133055     l, k, lat, lon, s
         120          33  -30.0520000      -71.6350021      0.248016611     l, k, lat, lon, s
