           4           5  -32.1640015      -71.1760025      0.395481855     l, k, lat, lon, s
           7           7  -32.1080017      -71.2139969      0.563929319     l, k, lat, lon, s
           8          10  -32.0880013      -71.2740021      0.466744453     l, k, lat, lon, s
           8          63  -32.0439987      -72.3570023      0.775058985     l, k, lat, lon, s
          12          49  -31.9850006      -72.0670013       1.00000000     l, k, lat, lon, s
          22          33  -31.8180008      -71.7310028      0.252903283     l, k, lat, lon, s
          37          26  -31.5529995      -71.5729980      0.491247118     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.465232104     l, k, lat, lon, s
          38          27  -31.5349998      -71.5930023      0.460278094     l, k, lat, lon, s
          48           6  -31.3700008      -71.1569977      0.240799382     l, k, lat, lon, s
          61          14  -31.1299992      -71.3079987      0.402555108     l, k, lat, lon, s
          83          70  -30.6870003      -72.4160004      0.627749503     l, k, lat, lon, s
          84           6  -30.7220001      -71.1259995      0.282588333     l, k, lat, lon, s
          84          55  -30.6819992      -72.1129990      0.749832571     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.960662186     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.887241364     l, k, lat, lon, s
          92          24  -30.5639992      -71.4810028      0.227244914     l, k, lat, lon, s
          95          24  -30.5100002      -71.4779968      0.296091855     l, k, lat, lon, s
         111          31  -30.2159996      -71.6039963      0.263457030     l, k, lat, lon, s
         113          25  -30.1849995      -71.4820023      0.242064446     l, k, lat, lon, s
