          13          23  -31.9880009      -71.5350037      0.672917485     l, k, lat, lon, s
          17          14  -31.9230003      -71.3479996      0.765043736     l, k, lat, lon, s
          19          15  -31.8859997      -71.3659973      0.584861577     l, k, lat, lon, s
          22          22  -31.8269997      -71.5059967      0.786774278     l, k, lat, lon, s
          28          14  -31.7250004      -71.3379974      0.762500882     l, k, lat, lon, s
          31           7  -31.6760006      -71.1930008      0.767947853     l, k, lat, lon, s
          36           6  -31.5869999      -71.1679993      0.747716784     l, k, lat, lon, s
          50          33  -31.3129997      -71.7030029      0.834058404     l, k, lat, lon, s
          64           5  -31.0830002      -71.1230011       1.00000000     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.767964363     l, k, lat, lon, s
          67          36  -31.0049992      -71.7470016      0.868350148     l, k, lat, lon, s
          73          22  -30.9080009      -71.4580002      0.423281163     l, k, lat, lon, s
          74          19  -30.8920002      -71.3970032      0.522246301     l, k, lat, lon, s
          84          65  -30.6730003      -72.3140030      0.809259176     l, k, lat, lon, s
          87          38  -30.6429996      -71.7669983      0.750288606     l, k, lat, lon, s
          94          16  -30.5340004      -71.3180008      0.708909452     l, k, lat, lon, s
          96          20  -30.4950008      -71.3970032      0.790906072     l, k, lat, lon, s
          98          51  -30.4330006      -72.0179977      0.708301723     l, k, lat, lon, s
         101          63  -30.3689995      -72.2549973      0.816194057     l, k, lat, lon, s
         116          59  -30.1019993      -72.1589966      0.746725202     l, k, lat, lon, s
