          13          48  -31.9669991      -72.0459976      0.928951144     l, k, lat, lon, s
          19          15  -31.8859997      -71.3659973      0.735301375     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027      0.804413915     l, k, lat, lon, s
          32          35  -31.6359997      -71.7610016      0.764265954     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.712278724     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.795878828     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025       1.00000000     l, k, lat, lon, s
          67          64  -30.9799995      -72.3119965      0.650597274     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.662025809     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.675345600     l, k, lat, lon, s
          74          49  -30.8680000      -72.0019989      0.766474545     l, k, lat, lon, s
          80          30  -30.7749996      -71.6129990      0.816555798     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967      0.904409468     l, k, lat, lon, s
          87          22  -30.6550007      -71.4449997      0.895296335     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035      0.739668429     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.691720009     l, k, lat, lon, s
         109          31  -30.2520008      -71.6060028      0.592436671     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.773318946     l, k, lat, lon, s
         118          44  -30.0790005      -71.8570023      0.839328349     l, k, lat, lon, s
         121          23  -30.0419998      -71.4339981      0.438067168     l, k, lat, lon, s
