           3          68  -32.1300011      -72.4649963      0.586372554     l, k, lat, lon, s
          13          68  -31.9489994      -72.4540024      0.865889847     l, k, lat, lon, s
          25          46  -31.7530003      -71.9919968      0.977698386     l, k, lat, lon, s
          32          63  -31.6119995      -72.3310013      0.976701796     l, k, lat, lon, s
          37          31  -31.5489998      -71.6750031      0.847797573     l, k, lat, lon, s
          38          17  -31.5419998      -71.3899994      0.687909305     l, k, lat, lon, s
          45          19  -31.4150009      -71.4240036      0.825732648     l, k, lat, lon, s
          46           9  -31.4039993      -71.2200012      0.929654300     l, k, lat, lon, s
          46          45  -31.3759995      -71.9499969      0.700453579     l, k, lat, lon, s
          49          51  -31.3160000      -72.0690002      0.729286373     l, k, lat, lon, s
          76          39  -30.8400002      -71.7979965      0.615010798     l, k, lat, lon, s
          82          58  -30.7159996      -72.1750031      0.778561473     l, k, lat, lon, s
          88          47  -30.6170006      -71.9479980      0.863408923     l, k, lat, lon, s
          91          16  -30.5879993      -71.3209991      0.922027588     l, k, lat, lon, s
         100          18  -30.4239998      -71.3529968      0.851271510     l, k, lat, lon, s
         109          52  -30.2339993      -72.0260010      0.725404680     l, k, lat, lon, s
         117          42  -30.0990009      -71.8180008      0.738022208     l, k, lat, lon, s
         117          44  -30.0970001      -71.8580017      0.671794295     l, k, lat, lon, s
         118          18  -30.1000004      -71.3369980      0.816077650     l, k, lat, lon, s
         120          32  -30.0529995      -71.6149979      0.789489150     l, k, lat, lon, s
