           1          49  -32.1829987      -72.0790024       1.00000000     l, k, lat, lon, s
          16          45  -31.9160004      -71.9810028      0.699204504     l, k, lat, lon, s
          18          30  -31.8929996      -71.6729965      0.671294928     l, k, lat, lon, s
          23           6  -31.8209991      -71.1790009      0.884382427     l, k, lat, lon, s
          26          31  -31.7479992      -71.6859970      0.788993359     l, k, lat, lon, s
          27          43  -31.7199993      -71.9290009      0.696623325     l, k, lat, lon, s
          30          64  -31.6469994      -72.3529968      0.961463511     l, k, lat, lon, s
          39          50  -31.4969997      -72.0589981      0.755855024     l, k, lat, lon, s
          49          58  -31.3099995      -72.2109985      0.757520735     l, k, lat, lon, s
          64          12  -31.0779991      -71.2649994      0.715462506     l, k, lat, lon, s
          64          54  -31.0429993      -72.1139984      0.766098201     l, k, lat, lon, s
          66           7  -31.0450001      -71.1620026      0.770597279     l, k, lat, lon, s
          74          26  -30.8869991      -71.5380020      0.577277303     l, k, lat, lon, s
          79          20  -30.8010006      -71.4120026      0.889574826     l, k, lat, lon, s
          86          66  -30.6359997      -72.3320007      0.829839587     l, k, lat, lon, s
         102          21  -30.3859997      -71.4110031      0.810652912     l, k, lat, lon, s
         105           3  -30.3449993      -71.0469971      0.713646889     l, k, lat, lon, s
         107          21  -30.2959995      -71.4069977      0.782798648     l, k, lat, lon, s
         117          22  -30.1149998      -71.4179993      0.651591301     l, k, lat, lon, s
         121          65  -30.0070000      -72.2740021      0.827833414     l, k, lat, lon, s
