           9          29  -32.0550003      -71.6620026      0.582851112     l, k, lat, lon, s
          15          29  -31.9470005      -71.6559982      0.661256611     l, k, lat, lon, s
          17          40  -31.9020004      -71.8779984      0.595398664     l, k, lat, lon, s
          28          68  -31.6790009      -72.4369965      0.644674599     l, k, lat, lon, s
          38          41  -31.5230007      -71.8769989      0.709819019     l, k, lat, lon, s
          42          63  -31.4319992      -72.3199997      0.688481033     l, k, lat, lon, s
          46          56  -31.3659992      -72.1729965      0.794884026     l, k, lat, lon, s
          52           7  -31.2980003      -71.1740036      0.690441966     l, k, lat, lon, s
          59          46  -31.1399994      -71.9570007      0.850719810     l, k, lat, lon, s
          68          71  -30.9559994      -72.4530029       1.00000000     l, k, lat, lon, s
          69          52  -30.9549999      -72.0680008      0.631819963     l, k, lat, lon, s
          75          15  -30.8770008      -71.3150024      0.631702125     l, k, lat, lon, s
          75          45  -30.8530006      -71.9209976      0.511325121     l, k, lat, lon, s
          77          51  -30.8120003      -72.0390015      0.792309403     l, k, lat, lon, s
          81          37  -30.7520008      -71.7529984      0.950413764     l, k, lat, lon, s
          90          67  -30.5629997      -72.3479996      0.565415323     l, k, lat, lon, s
          91          63  -30.5489998      -72.2659988      0.801543713     l, k, lat, lon, s
         105          56  -30.3029995      -72.1110001      0.794167876     l, k, lat, lon, s
         109          47  -30.2390003      -71.9260025      0.751333058     l, k, lat, lon, s
         120           4  -30.0739994      -71.0550003      0.715890467     l, k, lat, lon, s
