           7          14  -32.1030006      -71.3570023      0.593226433     l, k, lat, lon, s
           8          20  -32.0810013      -71.4789963      0.778298676     l, k, lat, lon, s
          26          23  -31.7539997      -71.5230026      0.709054768     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.672929168     l, k, lat, lon, s
          50          28  -31.3180008      -71.6019974      0.788637638     l, k, lat, lon, s
          52          22  -31.2859993      -71.4779968      0.974192262     l, k, lat, lon, s
          53          19  -31.2709999      -71.4160004      0.947827518     l, k, lat, lon, s
          53          20  -31.2700005      -71.4369965      0.998347342     l, k, lat, lon, s
          54          16  -31.2549992      -71.3550034      0.835912049     l, k, lat, lon, s
          60          48  -31.1210003      -71.9970016      0.688136399     l, k, lat, lon, s
          62          53  -31.0799999      -72.0960007      0.740750134     l, k, lat, lon, s
          85          21  -30.6919994      -71.4270020      0.668498635     l, k, lat, lon, s
          89          25  -30.6170006      -71.5039978      0.742885172     l, k, lat, lon, s
          94          42  -30.5130005      -71.8410034      0.645104051     l, k, lat, lon, s
          99          31  -30.4319992      -71.6149979      0.691652358     l, k, lat, lon, s
         102          32  -30.3770008      -71.6320038      0.563130796     l, k, lat, lon, s
         103          34  -30.3579998      -71.6709976      0.518291771     l, k, lat, lon, s
         105          64  -30.2959995      -72.2710037      0.724461019     l, k, lat, lon, s
         106          56  -30.2849998      -72.1100006      0.722092152     l, k, lat, lon, s
         111          24  -30.2210007      -71.4629974      0.712721646     l, k, lat, lon, s
