           4           6  -32.1629982      -71.1959991      0.607908130     l, k, lat, lon, s
          15           2  -31.9680004      -71.1050034      0.540421128     l, k, lat, lon, s
          24          36  -31.7789993      -71.7900009      0.683901846     l, k, lat, lon, s
          24          49  -31.7679996      -72.0550003      0.720577180     l, k, lat, lon, s
          30           8  -31.6930008      -71.2139969      0.711370647     l, k, lat, lon, s
          30          51  -31.6590004      -72.0889969      0.550766349     l, k, lat, lon, s
          35          66  -31.5550003      -72.3880005      0.833905280     l, k, lat, lon, s
          47          11  -31.3850002      -71.2600021      0.642652154     l, k, lat, lon, s
          51          63  -31.2700005      -72.3099976       1.00000000     l, k, lat, lon, s
          59           4  -31.1739998      -71.1070023      0.727032363     l, k, lat, lon, s
          67          13  -31.0230007      -71.2819977      0.739132881     l, k, lat, lon, s
          78          62  -30.7840004      -72.2600021      0.754643798     l, k, lat, lon, s
          79          31  -30.7929993      -71.6340027      0.673458278     l, k, lat, lon, s
          80          34  -30.7719994      -71.6940002      0.595686436     l, k, lat, lon, s
          89          50  -30.5970001      -72.0070038      0.655089498     l, k, lat, lon, s
          99          66  -30.4020004      -72.3180008      0.630225122     l, k, lat, lon, s
         115          48  -30.1299992      -71.9400024      0.567482948     l, k, lat, lon, s
         117          40  -30.1000004      -71.7779999      0.674897552     l, k, lat, lon, s
         118          51  -30.0730000      -71.9970016      0.688768804     l, k, lat, lon, s
         120          37  -30.0489998      -71.7149963      0.664014041     l, k, lat, lon, s
