           3          12  -32.1769981      -71.3199997      0.798740506     l, k, lat, lon, s
           6          20  -32.1170006      -71.4810028      0.918850839     l, k, lat, lon, s
          18           5  -31.9120007      -71.1630020      0.822184086     l, k, lat, lon, s
          20          27  -31.8589993      -71.6100006      0.787896395     l, k, lat, lon, s
          21          53  -31.8190002      -72.1389999      0.781843126     l, k, lat, lon, s
          23          34  -31.7989998      -71.7500000      0.942463517     l, k, lat, lon, s
          35          47  -31.5720005      -72.0019989      0.839575052     l, k, lat, lon, s
          38          57  -31.5090008      -72.2020035      0.879581392     l, k, lat, lon, s
          57          10  -31.2049999      -71.2300034       1.00000000     l, k, lat, lon, s
          59           7  -31.1709995      -71.1679993      0.946699500     l, k, lat, lon, s
          65           1  -31.0680008      -71.0410004      0.846429229     l, k, lat, lon, s
          67          34  -31.0060005      -71.7060013      0.838309765     l, k, lat, lon, s
          67          63  -30.9810009      -72.2919998      0.938969433     l, k, lat, lon, s
          68          49  -30.9759998      -72.0080032      0.843920827     l, k, lat, lon, s
          84          69  -30.6700001      -72.3949966      0.871076107     l, k, lat, lon, s
          91          59  -30.5529995      -72.1859970      0.894762754     l, k, lat, lon, s
          93          30  -30.5410004      -71.6009979      0.909058213     l, k, lat, lon, s
          95          54  -30.4850006      -72.0810013      0.822783887     l, k, lat, lon, s
          98          59  -30.4260006      -72.1780014      0.835966825     l, k, lat, lon, s
         106          42  -30.2970009      -71.8290024      0.901066601     l, k, lat, lon, s
