           6          42  -32.0979996      -71.9359970       1.00000000     l, k, lat, lon, s
          23          28  -31.8040009      -71.6230011      0.805493534     l, k, lat, lon, s
          24          57  -31.7609997      -72.2340012      0.929510832     l, k, lat, lon, s
          26          21  -31.7560005      -71.4729996      0.870387554     l, k, lat, lon, s
          27          48  -31.7150002      -72.0410004      0.758081794     l, k, lat, lon, s
          28          17  -31.7229996      -71.3870010      0.954033077     l, k, lat, lon, s
          40          43  -31.4850006      -71.9219971      0.738261402     l, k, lat, lon, s
          51          21  -31.3050003      -71.4489975      0.929145694     l, k, lat, lon, s
          57          46  -31.1760006      -71.9680023      0.878054202     l, k, lat, lon, s
          60          40  -31.1270008      -71.8389969      0.695239007     l, k, lat, lon, s
          61          27  -31.1200008      -71.5660019      0.937445343     l, k, lat, lon, s
          72          22  -30.9260006      -71.4509964      0.892207325     l, k, lat, lon, s
          89          47  -30.5990009      -71.9560013      0.828411877     l, k, lat, lon, s
          92          57  -30.5359993      -72.1610031      0.812536955     l, k, lat, lon, s
          97          17  -30.4799995      -71.3239975      0.999507368     l, k, lat, lon, s
          98           5  -30.4710007      -71.0729980      0.875790298     l, k, lat, lon, s
         105          63  -30.2959995      -72.2720032      0.734266520     l, k, lat, lon, s
         110          12  -30.2490005      -71.2080002      0.740463078     l, k, lat, lon, s
         110          47  -30.2199993      -71.9339981      0.632337987     l, k, lat, lon, s
         120          59  -30.0289993      -72.1729965      0.736008167     l, k, lat, lon, s
