           3           4  -32.1839981      -71.1340027      0.940641761     l, k, lat, lon, s
           8          56  -32.0499992      -72.2300034      0.984767199     l, k, lat, lon, s
          10          15  -32.0489998      -71.3610001      0.890963852     l, k, lat, lon, s
          13          47  -31.9680004      -72.0350037      0.832764626     l, k, lat, lon, s
          18          38  -31.8859997      -71.8389969      0.841332912     l, k, lat, lon, s
          32          46  -31.6270008      -71.9940033      0.873815656     l, k, lat, lon, s
          37          53  -31.5300007      -72.1360016      0.784047067     l, k, lat, lon, s
          46          14  -31.4009991      -71.3069992      0.882413387     l, k, lat, lon, s
          59          31  -31.1529999      -71.6510010      0.856083751     l, k, lat, lon, s
          61          38  -31.1110001      -71.7959976      0.840156019     l, k, lat, lon, s
          63          51  -31.0639992      -72.0660019      0.666126728     l, k, lat, lon, s
          67          41  -31.0000000      -71.8529968      0.835661769     l, k, lat, lon, s
          68          14  -31.0049992      -71.2870026      0.794586480     l, k, lat, lon, s
          71          57  -30.9139996      -72.1829987      0.855309546     l, k, lat, lon, s
          73          47  -30.8869991      -71.9720001      0.642908096     l, k, lat, lon, s
          81          66  -30.7250004      -72.3600006      0.517118931     l, k, lat, lon, s
          81          68  -30.7229996      -72.4020004      0.610669315     l, k, lat, lon, s
          96          51  -30.4689999      -72.0319977      0.877506375     l, k, lat, lon, s
          99          65  -30.4020004      -72.3199997      0.896432221     l, k, lat, lon, s
         107          13  -30.3020000      -71.2310028      0.876278877     l, k, lat, lon, s
