          16          58  -31.9050007      -72.2470016      0.670244634     l, k, lat, lon, s
          22          48  -31.8050003      -72.0360031      0.668195724     l, k, lat, lon, s
          32          55  -31.6189995      -72.1679993      0.666588008     l, k, lat, lon, s
          36          12  -31.5820007      -71.2900009      0.900735319     l, k, lat, lon, s
          44          29  -31.4249992      -71.6279984      0.828543603     l, k, lat, lon, s
          44          49  -31.4080009      -72.0329971      0.554142594     l, k, lat, lon, s
          47          32  -31.3680000      -71.6859970      0.735493243     l, k, lat, lon, s
          49          64  -31.3050003      -72.3320007      0.630875349     l, k, lat, lon, s
          66          71  -30.9920006      -72.4550018      0.830793679     l, k, lat, lon, s
          68          48  -30.9769993      -71.9879990      0.645965874     l, k, lat, lon, s
          75          48  -30.8500004      -71.9810028      0.936102748     l, k, lat, lon, s
          77          49  -30.8139992      -71.9990005      0.834568322     l, k, lat, lon, s
          78          39  -30.8040009      -71.7959976      0.900317490     l, k, lat, lon, s
          87          40  -30.6410007      -71.8079987      0.796443105     l, k, lat, lon, s
         102          67  -30.3470001      -72.3349991      0.663418412     l, k, lat, lon, s
         103           1  -30.3829994      -71.0090027       1.00000000     l, k, lat, lon, s
         110          42  -30.2250004      -71.8249969      0.805537462     l, k, lat, lon, s
         113          38  -30.1739998      -71.7419968      0.837678015     l, k, lat, lon, s
         116          14  -30.1389999      -71.2580032      0.907433331     l, k, lat, lon, s
         118          40  -30.0820007      -71.7770004      0.687459052     l, k, lat, lon, s
