          27           2  -31.7520008      -71.0940018       1.00000000     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.844018698     l, k, lat, lon, s
          37          21  -31.5569992      -71.4720001      0.838237286     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.834239960     l, k, lat, lon, s
          42          44  -31.4480000      -71.9339981      0.705156744     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.801645458     l, k, lat, lon, s
          75          54  -30.8449993      -72.1019974      0.728816688     l, k, lat, lon, s
          82          14  -30.7520008      -71.2890015      0.787232101     l, k, lat, lon, s
          84          63  -30.6749992      -72.2740021      0.596531868     l, k, lat, lon, s
          85          67  -30.6529999      -72.3529968      0.700666308     l, k, lat, lon, s
          90          53  -30.5760002      -72.0660019      0.629451156     l, k, lat, lon, s
          92          37  -30.5529995      -71.7419968      0.749418557     l, k, lat, lon, s
          98          64  -30.4220009      -72.2789993      0.750148833     l, k, lat, lon, s
         104          23  -30.3479996      -71.4499969      0.744902194     l, k, lat, lon, s
         110          46  -30.2220001      -71.9049988      0.715379894     l, k, lat, lon, s
         111           6  -30.2350006      -71.1019974      0.888622820     l, k, lat, lon, s
         113          49  -30.1650009      -71.9619980      0.889167130     l, k, lat, lon, s
         114          51  -30.1450005      -72.0009995      0.720802844     l, k, lat, lon, s
         117           1  -30.1299992      -70.9970016      0.765554070     l, k, lat, lon, s
         120          15  -30.0660000      -71.2750015      0.868607581     l, k, lat, lon, s
