           4          67  -32.1119995      -72.4440002      0.665273905     l, k, lat, lon, s
           7          33  -32.0880013      -71.7450027      0.897773802     l, k, lat, lon, s
          10          67  -32.0040016      -72.4369965      0.572254360     l, k, lat, lon, s
          13          43  -31.9720001      -71.9440002      0.641264260     l, k, lat, lon, s
          15          31  -31.9459991      -71.6969986      0.969085395     l, k, lat, lon, s
          15          49  -31.9309998      -72.0640030      0.809409797     l, k, lat, lon, s
          26          63  -31.7199993      -72.3369980      0.914532900     l, k, lat, lon, s
          27          42  -31.7199993      -71.9089966      0.775706768     l, k, lat, lon, s
          31           6  -31.6770000      -71.1719971      0.867505670     l, k, lat, lon, s
          39          20  -31.5219994      -71.4499969      0.946098506     l, k, lat, lon, s
          49          41  -31.3250008      -71.8659973      0.920381427     l, k, lat, lon, s
          51          35  -31.2940006      -71.7419968      0.612126768     l, k, lat, lon, s
          54          19  -31.2520008      -71.4150009      0.897788942     l, k, lat, lon, s
          69          38  -30.9669991      -71.7850037      0.742302775     l, k, lat, lon, s
          73          68  -30.8689995      -72.3870010      0.652750194     l, k, lat, lon, s
          76          24  -30.8519993      -71.4960022      0.911764801     l, k, lat, lon, s
          84          70  -30.6690006      -72.4150009      0.707756341     l, k, lat, lon, s
          94          70  -30.4890003      -72.4039993      0.800937116     l, k, lat, lon, s
         115          34  -30.1410007      -71.6600037      0.944794714     l, k, lat, lon, s
         118          31  -30.0900002      -71.5970001       1.00000000     l, k, lat, lon, s
