           3           4  -32.1839981      -71.1340027      0.973226249     l, k, lat, lon, s
           8          56  -32.0499992      -72.2300034      0.980191171     l, k, lat, lon, s
          10          15  -32.0489998      -71.3610001      0.910520911     l, k, lat, lon, s
          13          47  -31.9680004      -72.0350037      0.819908619     l, k, lat, lon, s
          18          38  -31.8859997      -71.8389969      0.838540077     l, k, lat, lon, s
          32          46  -31.6270008      -71.9940033      0.901907861     l, k, lat, lon, s
          37          53  -31.5300007      -72.1360016      0.832404077     l, k, lat, lon, s
          46          14  -31.4009991      -71.3069992      0.818169892     l, k, lat, lon, s
          59          31  -31.1529999      -71.6510010      0.823215187     l, k, lat, lon, s
          61          38  -31.1110001      -71.7959976      0.888273716     l, k, lat, lon, s
          63          51  -31.0639992      -72.0660019      0.732574403     l, k, lat, lon, s
          67          41  -31.0000000      -71.8529968      0.819287121     l, k, lat, lon, s
          68          14  -31.0049992      -71.2870026      0.661020994     l, k, lat, lon, s
          71          57  -30.9139996      -72.1829987      0.995883524     l, k, lat, lon, s
          73          47  -30.8869991      -71.9720001      0.760079741     l, k, lat, lon, s
          81          66  -30.7250004      -72.3600006      0.682102978     l, k, lat, lon, s
          81          68  -30.7229996      -72.4020004      0.605471969     l, k, lat, lon, s
          96          51  -30.4689999      -72.0319977      0.778689682     l, k, lat, lon, s
          99          65  -30.4020004      -72.3199997      0.802891254     l, k, lat, lon, s
         107          13  -30.3020000      -71.2310028      0.943071246     l, k, lat, lon, s
