          16          58  -31.9039993      -72.2639999      0.735426128     l, k, lat, lon, s
          29           2  -31.7159996      -71.0690002      0.785743356     l, k, lat, lon, s
          32          41  -31.6310005      -71.8880005      0.748928785     l, k, lat, lon, s
          32          55  -31.6180000      -72.1829987      0.902700543     l, k, lat, lon, s
          35          58  -31.5620003      -72.2429962      0.748039842     l, k, lat, lon, s
          44          49  -31.4080009      -72.0439987       1.00000000     l, k, lat, lon, s
          47          32  -31.3680000      -71.6839981      0.813284874     l, k, lat, lon, s
          49          64  -31.3040009      -72.3539963      0.844556391     l, k, lat, lon, s
          60          11  -31.1509991      -71.2310028      0.818710804     l, k, lat, lon, s
          66          56  -31.0049992      -72.1679993      0.636788011     l, k, lat, lon, s
          68          48  -30.9759998      -71.9980011      0.671521783     l, k, lat, lon, s
          74          59  -30.8579998      -72.2220001      0.457765549     l, k, lat, lon, s
          76           8  -30.8649998      -71.1549988      0.707269073     l, k, lat, lon, s
          78          39  -30.8040009      -71.8000031      0.771874428     l, k, lat, lon, s
          79          48  -30.7779999      -71.9869995      0.826052606     l, k, lat, lon, s
          87          40  -30.6410007      -71.8119965      0.835018396     l, k, lat, lon, s
         102          47  -30.3640003      -71.9420013      0.619175017     l, k, lat, lon, s
         102          65  -30.3479996      -72.3160019      0.773176551     l, k, lat, lon, s
         103           1  -30.3829994      -70.9860001      0.744650364     l, k, lat, lon, s
         118          40  -30.0820007      -71.7809982      0.914167225     l, k, lat, lon, s
