          13          64  -31.9519997      -72.3939972      0.883809209     l, k, lat, lon, s
          17          53  -31.8899994      -72.1569977      0.832476318     l, k, lat, lon, s
          24           1  -31.8069992      -71.0530014      0.938958824     l, k, lat, lon, s
          25          57  -31.7430000      -72.2330017       1.00000000     l, k, lat, lon, s
          31           2  -31.6800003      -71.0680008      0.782761216     l, k, lat, lon, s
          33          57  -31.5990009      -72.2239990      0.827166796     l, k, lat, lon, s
          34          37  -31.5979996      -71.8020020      0.819675267     l, k, lat, lon, s
          41          47  -31.4640007      -72.0049973      0.953762650     l, k, lat, lon, s
          56          45  -31.1949997      -71.9479980      0.776459038     l, k, lat, lon, s
          62          14  -31.1130009      -71.2929993      0.901522279     l, k, lat, lon, s
          62          22  -31.1060009      -71.4599991      0.896873415     l, k, lat, lon, s
          66           9  -31.0440006      -71.1839981      0.774904728     l, k, lat, lon, s
          67          39  -31.0020008      -71.8109970      0.947134554     l, k, lat, lon, s
          78          21  -30.8190002      -71.4240036      0.850413322     l, k, lat, lon, s
          93          11  -30.5559998      -71.2020035      0.710384607     l, k, lat, lon, s
          94          53  -30.5030003      -72.0759964      0.885863185     l, k, lat, lon, s
          98          59  -30.4260006      -72.1959991      0.610210180     l, k, lat, lon, s
         106          18  -30.3169994      -71.3359985      0.754540265     l, k, lat, lon, s
         116          43  -30.1159992      -71.8450012      0.958578050     l, k, lat, lon, s
         117          62  -30.0809994      -72.2379990      0.833542466     l, k, lat, lon, s
