           2          36  -32.1759987      -71.8130035      0.726557195     l, k, lat, lon, s
          17          57  -31.8869991      -72.2419968      0.897816598     l, k, lat, lon, s
          18          10  -31.9090004      -71.2480011      0.616347253     l, k, lat, lon, s
          23          17  -31.8129997      -71.3909988      0.865331292     l, k, lat, lon, s
          23          59  -31.7770004      -72.2770004      0.904064476     l, k, lat, lon, s
          25          59  -31.7409992      -72.2750015      0.753200233     l, k, lat, lon, s
          44          35  -31.4200001      -71.7500000      0.742662430     l, k, lat, lon, s
          45          22  -31.4130001      -71.4759979      0.849422753     l, k, lat, lon, s
          47          38  -31.3630009      -71.8099976      0.950263858     l, k, lat, lon, s
          60          66  -31.1040001      -72.3830032      0.655315161     l, k, lat, lon, s
          65           8  -31.0629997      -71.1640015      0.899631202     l, k, lat, lon, s
          65          35  -31.0419998      -71.7289963      0.780463874     l, k, lat, lon, s
          67          42  -30.9990005      -71.8740005       1.00000000     l, k, lat, lon, s
          75          56  -30.8430004      -72.1579971      0.697956443     l, k, lat, lon, s
          83          43  -30.7099991      -71.8779984      0.749385297     l, k, lat, lon, s
          85          14  -30.6980000      -71.2720032      0.786598623     l, k, lat, lon, s
         100          66  -30.3829994      -72.3389969      0.729220748     l, k, lat, lon, s
         114          61  -30.1359997      -72.2210007      0.734042525     l, k, lat, lon, s
         119          16  -30.0839996      -71.2829971      0.764506996     l, k, lat, lon, s
         120          51  -30.0370007      -72.0070038      0.695393205     l, k, lat, lon, s
