           7          71  -32.0530014      -72.5490036      0.956698418     l, k, lat, lon, s
           8           4  -32.0929985      -71.1299973      0.870696187     l, k, lat, lon, s
           8          44  -32.0610008      -71.9759979      0.732792437     l, k, lat, lon, s
          11          30  -32.0190010      -71.6770020      0.540879428     l, k, lat, lon, s
          13          27  -31.9850006      -71.6119995      0.506051660     l, k, lat, lon, s
          23          63  -31.7730007      -72.3619995      0.664994478     l, k, lat, lon, s
          25          27  -31.7689991      -71.5999985      0.767161429     l, k, lat, lon, s
          30          58  -31.6520004      -72.2480011      0.464580774     l, k, lat, lon, s
          31          59  -31.6329994      -72.2679977      0.512993813     l, k, lat, lon, s
          45          37  -31.3999996      -71.7910004      0.778447092     l, k, lat, lon, s
          48           4  -31.3729992      -71.0950012      0.677111626     l, k, lat, lon, s
          49          62  -31.3059998      -72.3119965      0.938836515     l, k, lat, lon, s
          53          33  -31.2590008      -71.6989975      0.795086384     l, k, lat, lon, s
          53          58  -31.2369995      -72.2239990      0.888541281     l, k, lat, lon, s
          54          59  -31.2180004      -72.2429962      0.960271180     l, k, lat, lon, s
          55          59  -31.2000008      -72.2419968      0.997930467     l, k, lat, lon, s
          63          62  -31.0529995      -72.2959976      0.783841670     l, k, lat, lon, s
          78          53  -30.7919998      -72.0920029      0.513185799     l, k, lat, lon, s
          84          11  -30.7180004      -71.2099991      0.635028422     l, k, lat, lon, s
         110          52  -30.2159996      -72.0380020      0.710937679     l, k, lat, lon, s
