           1          34  -32.1959991      -71.7720032       1.00000000     l, k, lat, lon, s
           7          54  -32.0699997      -72.1890030      0.793220162     l, k, lat, lon, s
          22          28  -31.8220005      -71.6240005      0.719996750     l, k, lat, lon, s
          28          21  -31.7199993      -71.4710007      0.731771171     l, k, lat, lon, s
          51           2  -31.3199997      -71.0510025      0.628682673     l, k, lat, lon, s
          59          66  -31.1219997      -72.3850021      0.960914552     l, k, lat, lon, s
          65          14  -31.0590000      -71.2900009      0.541011870     l, k, lat, lon, s
          71          16  -30.9489994      -71.3259964      0.800087869     l, k, lat, lon, s
          76           5  -30.8670006      -71.0920029      0.711276233     l, k, lat, lon, s
          78          41  -30.8020000      -71.8420029      0.835843742     l, k, lat, lon, s
          81          17  -30.7679996      -71.3379974      0.443798989     l, k, lat, lon, s
          81          39  -30.7500000      -71.7969971      0.861092806     l, k, lat, lon, s
          85          29  -30.6860008      -71.5849991      0.649110198     l, k, lat, lon, s
          89          19  -30.6219997      -71.3720016      0.946163297     l, k, lat, lon, s
          91          17  -30.5879993      -71.3290024      0.778240979     l, k, lat, lon, s
          91          34  -30.5739994      -71.6829987      0.907659769     l, k, lat, lon, s
         100          59  -30.3899994      -72.1940002      0.458932042     l, k, lat, lon, s
         107          25  -30.2929993      -71.4810028      0.759790361     l, k, lat, lon, s
         116           3  -30.1480007      -71.0159988      0.727951586     l, k, lat, lon, s
         116          53  -30.1070004      -72.0530014      0.741469979     l, k, lat, lon, s
