          16           3  -31.9500008      -71.1019974      0.878462136     l, k, lat, lon, s
          16          58  -31.9039993      -72.2639999      0.722022414     l, k, lat, lon, s
          20          34  -31.8530006      -71.7529984      0.922703266     l, k, lat, lon, s
          29          11  -31.7099991      -71.2590027      0.976916730     l, k, lat, lon, s
          45          47  -31.3910007      -72.0009995      0.988484323     l, k, lat, lon, s
          45          70  -31.3700008      -72.4840012      0.703200996     l, k, lat, lon, s
          59          66  -31.1219997      -72.3850021      0.740030706     l, k, lat, lon, s
          65          14  -31.0590000      -71.2900009      0.951855659     l, k, lat, lon, s
          78          41  -30.8020000      -71.8420029      0.624519527     l, k, lat, lon, s
          81          17  -30.7679996      -71.3379974      0.695107281     l, k, lat, lon, s
          85          29  -30.6860008      -71.5849991      0.774702787     l, k, lat, lon, s
          89          19  -30.6219997      -71.3720016      0.771515131     l, k, lat, lon, s
          91          34  -30.5739994      -71.6829987      0.857257605     l, k, lat, lon, s
         102          68  -30.3449993      -72.3789978       1.00000000     l, k, lat, lon, s
         107          25  -30.2929993      -71.4810028      0.955998540     l, k, lat, lon, s
         113          30  -30.1809998      -71.5790024      0.870018005     l, k, lat, lon, s
         116           3  -30.1480007      -71.0159988      0.799204588     l, k, lat, lon, s
         116          53  -30.1070004      -72.0530014      0.842943668     l, k, lat, lon, s
         119          28  -30.0739994      -71.5319977      0.816767752     l, k, lat, lon, s
         120          59  -30.0289993      -72.1729965      0.852519989     l, k, lat, lon, s
