           7          14  -32.1040001      -71.3430023       1.00000000     l, k, lat, lon, s
          27          31  -31.7299995      -71.6829987      0.804151237     l, k, lat, lon, s
          30          26  -31.6800003      -71.5739975      0.684885621     l, k, lat, lon, s
          38          26  -31.5359993      -71.5670013      0.818700910     l, k, lat, lon, s
          39           3  -31.5359993      -71.0820007      0.719241679     l, k, lat, lon, s
          47           3  -31.3910007      -71.0749969      0.812576234     l, k, lat, lon, s
          50          28  -31.3180008      -71.5970001      0.878039181     l, k, lat, lon, s
          52           1  -31.3029995      -71.0289993      0.896958232     l, k, lat, lon, s
          52          22  -31.2870007      -71.4690018      0.917382121     l, k, lat, lon, s
          53          19  -31.2709999      -71.4059982      0.863111913     l, k, lat, lon, s
          68          23  -30.9969997      -71.4749985      0.837163270     l, k, lat, lon, s
          89          25  -30.6170006      -71.4980011      0.895624757     l, k, lat, lon, s
          89          53  -30.5930004      -72.0810013      0.900489748     l, k, lat, lon, s
          91          20  -30.5849991      -71.3919983      0.915625811     l, k, lat, lon, s
          97          52  -30.4500008      -72.0520020      0.734994054     l, k, lat, lon, s
          99          31  -30.4319992      -71.6129990      0.903697789     l, k, lat, lon, s
         102          32  -30.3770008      -71.6309967      0.931391954     l, k, lat, lon, s
         105          64  -30.2950001      -72.2919998      0.867654443     l, k, lat, lon, s
         106          56  -30.2840004      -72.1250000      0.602957249     l, k, lat, lon, s
         107          25  -30.2929993      -71.4810028      0.716447532     l, k, lat, lon, s
