          10          32  -32.0349998      -71.7210007      0.670283794     l, k, lat, lon, s
          12          52  -31.9810009      -72.1409988      0.553877890     l, k, lat, lon, s
          14          52  -31.9449997      -72.1389999      0.709616661     l, k, lat, lon, s
          24          62  -31.7560005      -72.3389969      0.615835845     l, k, lat, lon, s
          25          61  -31.7390003      -72.3170013      0.717321396     l, k, lat, lon, s
          30          37  -31.6700001      -71.8059998      0.737581074     l, k, lat, lon, s
          49          18  -31.3439999      -71.3880005      0.644716263     l, k, lat, lon, s
          64          71  -31.0270004      -72.4840012      0.871279657     l, k, lat, lon, s
          68          10  -31.0079994      -71.2030029      0.730564654     l, k, lat, lon, s
          84          62  -30.6749992      -72.2740021      0.926468313     l, k, lat, lon, s
          88          60  -30.6049995      -72.2279968      0.736050963     l, k, lat, lon, s
          92          22  -30.5660000      -71.4319992      0.855357170     l, k, lat, lon, s
          93          13  -30.5550003      -71.2440033      0.729594469     l, k, lat, lon, s
          95           6  -30.5240002      -71.0960007      0.680022478     l, k, lat, lon, s
         101          20  -30.4050007      -71.3820038      0.682358205     l, k, lat, lon, s
         105          37  -30.3190002      -71.7320023      0.462611109     l, k, lat, lon, s
         106           2  -30.3290005      -71.0039978      0.729477942     l, k, lat, lon, s
         110           9  -30.2509995      -71.1460037       1.00000000     l, k, lat, lon, s
         120          39  -30.0470009      -71.7590027      0.687513828     l, k, lat, lon, s
         121          54  -30.0160007      -72.0680008      0.566785634     l, k, lat, lon, s
