          13          25  -31.9869995      -71.5699997      0.696630895     l, k, lat, lon, s
          18          50  -31.8750000      -72.0930023      0.733646095     l, k, lat, lon, s
          24          36  -31.7789993      -71.7910004      0.724401414     l, k, lat, lon, s
          25          52  -31.7469997      -72.1269989      0.660779476     l, k, lat, lon, s
          30           8  -31.6940002      -71.1949997      0.651802599     l, k, lat, lon, s
          35          66  -31.5540009      -72.4110031      0.458272904     l, k, lat, lon, s
          45          39  -31.3980007      -71.8330002      0.682349980     l, k, lat, lon, s
          50           6  -31.3349991      -71.1350021      0.777262092     l, k, lat, lon, s
          51          63  -31.2689991      -72.3310013      0.550211728     l, k, lat, lon, s
          52          36  -31.2749996      -71.7630005      0.650384188     l, k, lat, lon, s
          56          33  -31.2049999      -71.6959991      0.772549152     l, k, lat, lon, s
          59           4  -31.1739998      -71.0859985      0.794940829     l, k, lat, lon, s
          77          48  -30.8139992      -71.9889984      0.783699930     l, k, lat, lon, s
          78          62  -30.7830009      -72.2799988      0.786619604     l, k, lat, lon, s
          86          23  -30.6730003      -71.4589996       1.00000000     l, k, lat, lon, s
          89          50  -30.5960007      -72.0179977      0.825803995     l, k, lat, lon, s
         115          48  -30.1289997      -71.9499969      0.627155185     l, k, lat, lon, s
         118          51  -30.0730000      -72.0090027      0.766311884     l, k, lat, lon, s
         119          37  -30.0669994      -71.7180023      0.380163044     l, k, lat, lon, s
         120          37  -30.0489998      -71.7170029      0.421971440     l, k, lat, lon, s
