           4           6  -32.1640015      -71.1760025      0.867724359     l, k, lat, lon, s
          15           2  -31.9689999      -71.0820007      0.613420308     l, k, lat, lon, s
          24          36  -31.7789993      -71.7910004      0.819045663     l, k, lat, lon, s
          24          49  -31.7679996      -72.0650024      0.666048586     l, k, lat, lon, s
          30           8  -31.6940002      -71.1949997      0.816124141     l, k, lat, lon, s
          30          51  -31.6580009      -72.1009979      0.650119781     l, k, lat, lon, s
          35          66  -31.5540009      -72.4110031      0.814113200     l, k, lat, lon, s
          47          11  -31.3850002      -71.2429962      0.797945142     l, k, lat, lon, s
          51          63  -31.2689991      -72.3310013      0.907220423     l, k, lat, lon, s
          59           4  -31.1739998      -71.0859985      0.703953683     l, k, lat, lon, s
          67          13  -31.0230007      -71.2669983      0.724115789     l, k, lat, lon, s
          78          62  -30.7830009      -72.2799988      0.867156565     l, k, lat, lon, s
          79          31  -30.7929993      -71.6320038      0.515308499     l, k, lat, lon, s
          80          34  -30.7719994      -71.6940002      0.887708187     l, k, lat, lon, s
          89          50  -30.5960007      -72.0179977       1.00000000     l, k, lat, lon, s
          99          66  -30.4009991      -72.3399963      0.696070731     l, k, lat, lon, s
         115          48  -30.1289997      -71.9499969      0.895808041     l, k, lat, lon, s
         117          40  -30.1000004      -71.7819977      0.818693042     l, k, lat, lon, s
         118          51  -30.0730000      -72.0090027      0.795921028     l, k, lat, lon, s
         120          37  -30.0489998      -71.7170029      0.821501195     l, k, lat, lon, s
