          15           3  -31.9680004      -71.1029968      0.611258686     l, k, lat, lon, s
          16          27  -31.9309998      -71.6090012      0.780116737     l, k, lat, lon, s
          17          60  -31.8840008      -72.3050003      0.670829713     l, k, lat, lon, s
          20          66  -31.8239994      -72.4280014       1.00000000     l, k, lat, lon, s
          23          26  -31.8059998      -71.5810013      0.798346102     l, k, lat, lon, s
          30          17  -31.6870003      -71.3850021      0.748456955     l, k, lat, lon, s
          44          46  -31.4099998      -71.9810028      0.797857583     l, k, lat, lon, s
          50          12  -31.3299999      -71.2610016      0.879053473     l, k, lat, lon, s
          50          55  -31.2940006      -72.1640015      0.871151984     l, k, lat, lon, s
          55          64  -31.1959991      -72.3470001      0.523481846     l, k, lat, lon, s
          66          47  -31.0130005      -71.9789963      0.766805470     l, k, lat, lon, s
          72          22  -30.9260006      -71.4509964      0.699157000     l, k, lat, lon, s
          75           9  -30.8820000      -71.1760025      0.769570172     l, k, lat, lon, s
          77          35  -30.8250008      -71.7180023      0.918403804     l, k, lat, lon, s
          83           2  -30.7430000      -71.0230026      0.641439199     l, k, lat, lon, s
          83          16  -30.7329998      -71.3150024      0.827453136     l, k, lat, lon, s
          93          68  -30.5070000      -72.3889999      0.767001987     l, k, lat, lon, s
         101          48  -30.3820000      -71.9639969      0.854205430     l, k, lat, lon, s
         113          69  -30.1459999      -72.3870010      0.804328501     l, k, lat, lon, s
         121          56  -30.0139999      -72.1100006      0.776692152     l, k, lat, lon, s
