           4          67  -32.1110001      -72.4670029      0.790776551     l, k, lat, lon, s
           7          33  -32.0880013      -71.7450027      0.812262595     l, k, lat, lon, s
          10          67  -32.0029984      -72.4609985      0.975624323     l, k, lat, lon, s
          13          43  -31.9720001      -71.9499969      0.839195073     l, k, lat, lon, s
          15          31  -31.9459991      -71.6949997      0.796295285     l, k, lat, lon, s
          15          49  -31.9300003      -72.0749969      0.867064238     l, k, lat, lon, s
          26          63  -31.7189999      -72.3580017      0.793039203     l, k, lat, lon, s
          27          42  -31.7199993      -71.9150009      0.789858043     l, k, lat, lon, s
          31           6  -31.6770000      -71.1520004      0.560128808     l, k, lat, lon, s
          39          20  -31.5219994      -71.4400024      0.708780646     l, k, lat, lon, s
          49          41  -31.3250008      -71.8710022      0.814122319     l, k, lat, lon, s
          51          35  -31.2940006      -71.7429962      0.821170807     l, k, lat, lon, s
          54          19  -31.2530003      -71.4049988      0.770204008     l, k, lat, lon, s
          69          38  -30.9669991      -71.7880020      0.915875733     l, k, lat, lon, s
          73          68  -30.8680000      -72.4110031      0.786338568     l, k, lat, lon, s
          76          24  -30.8519993      -71.4889984      0.806285977     l, k, lat, lon, s
          84          70  -30.6679993      -72.4400024      0.854163587     l, k, lat, lon, s
          94          70  -30.4869995      -72.4290009      0.871612608     l, k, lat, lon, s
         115          34  -30.1410007      -71.6600037       1.00000000     l, k, lat, lon, s
         118          31  -30.0900002      -71.5950012      0.958066046     l, k, lat, lon, s
