           8          20  -32.0810013      -71.4690018      0.711924016     l, k, lat, lon, s
          15          28  -31.9480000      -71.6309967      0.707390368     l, k, lat, lon, s
          23          36  -31.7970009      -71.7919998      0.658612311     l, k, lat, lon, s
          26          23  -31.7539997      -71.5149994      0.816856444     l, k, lat, lon, s
          30          34  -31.6730003      -71.7429962      0.816676259     l, k, lat, lon, s
          31          14  -31.6709995      -71.3209991      0.799642980     l, k, lat, lon, s
          45          31  -31.4050007      -71.6650009      0.781332016     l, k, lat, lon, s
          48          35  -31.3479996      -71.7460022      0.834128618     l, k, lat, lon, s
          53          20  -31.2700005      -71.4270020      0.916772723     l, k, lat, lon, s
          54          16  -31.2549992      -71.3420029      0.908804119     l, k, lat, lon, s
          60          48  -31.1200008      -72.0070038      0.599945486     l, k, lat, lon, s
          62          53  -31.0799999      -72.1090012       1.00000000     l, k, lat, lon, s
          80          14  -30.7880001      -71.2760010      0.811610341     l, k, lat, lon, s
          85          21  -30.6930008      -71.4179993      0.851100326     l, k, lat, lon, s
          94          42  -30.5130005      -71.8470001      0.698580384     l, k, lat, lon, s
          99          49  -30.4169998      -71.9869995      0.779551983     l, k, lat, lon, s
         103          34  -30.3579998      -71.6709976      0.844024777     l, k, lat, lon, s
         106          12  -30.3209991      -71.2119980      0.663696885     l, k, lat, lon, s
         111          24  -30.2220001      -71.4560013      0.928037703     l, k, lat, lon, s
         121          12  -30.0510006      -71.1979980      0.926958501     l, k, lat, lon, s
