           4          67  -32.1119995      -72.4440002      0.788352311     l, k, lat, lon, s
          14          32  -31.9629993      -71.7180023      0.380864799     l, k, lat, lon, s
          17          17  -31.9209995      -71.4089966      0.301556200     l, k, lat, lon, s
          19          34  -31.8710003      -71.7539978      0.831441343     l, k, lat, lon, s
          20          44  -31.8449993      -71.9570007      0.918347955     l, k, lat, lon, s
          29          27  -31.6970005      -71.6009979      0.262001485     l, k, lat, lon, s
          38           2  -31.5529995      -71.0849991      0.236183316     l, k, lat, lon, s
          40          34  -31.4930000      -71.7330017      0.883943021     l, k, lat, lon, s
          46          48  -31.3729992      -72.0110016       1.00000000     l, k, lat, lon, s
          46          60  -31.3619995      -72.2539978      0.880450010     l, k, lat, lon, s
          50          42  -31.3059998      -71.8850021      0.831337690     l, k, lat, lon, s
          71          60  -30.9120007      -72.2269974      0.857527196     l, k, lat, lon, s
          75          42  -30.8560009      -71.8600006      0.828840137     l, k, lat, lon, s
          87          70  -30.6149998      -72.4110031      0.809481680     l, k, lat, lon, s
          89          17  -30.6229992      -71.3430023      0.247565135     l, k, lat, lon, s
         100          15  -30.4260006      -71.2929993      0.206766635     l, k, lat, lon, s
         109          45  -30.2399998      -71.8860016      0.800352395     l, k, lat, lon, s
         113          12  -30.1940002      -71.2210007      0.148389533     l, k, lat, lon, s
         114          11  -30.1770000      -71.1999969      0.134348825     l, k, lat, lon, s
         115           2  -30.1660004      -71.0189972      0.220305666     l, k, lat, lon, s
