           4          25  -32.1489983      -71.5849991      0.227926508     l, k, lat, lon, s
          10          59  -32.0120010      -72.2740021       1.00000000     l, k, lat, lon, s
          18          28  -31.8939991      -71.6330032      0.270861149     l, k, lat, lon, s
          26          45  -31.7360001      -71.9710007      0.818553567     l, k, lat, lon, s
          29          47  -31.6800003      -72.0090027      0.809277296     l, k, lat, lon, s
          29          60  -31.6690006      -72.2730026      0.797357738     l, k, lat, lon, s
          36          63  -31.5400009      -72.3259964      0.948037088     l, k, lat, lon, s
          39          53  -31.4950008      -72.1200027      0.796934426     l, k, lat, lon, s
          40          48  -31.4810009      -72.0169983      0.670487702     l, k, lat, lon, s
          42          24  -31.4650002      -71.5279999      0.189189270     l, k, lat, lon, s
          55          46  -31.2129993      -71.9609985      0.925431907     l, k, lat, lon, s
          63          33  -31.0790005      -71.6900024      0.185597748     l, k, lat, lon, s
          65          13  -31.0590000      -71.2839966      0.154109329     l, k, lat, lon, s
          72          30  -30.9190006      -71.6210022      0.259926170     l, k, lat, lon, s
          86          46  -30.6539993      -71.9290009      0.874089837     l, k, lat, lon, s
          88          51  -30.6140003      -72.0279999      0.830542147     l, k, lat, lon, s
          93          40  -30.5330009      -71.8020020      0.841031492     l, k, lat, lon, s
         108           4  -30.2900009      -71.0650024      0.183496699     l, k, lat, lon, s
         111          40  -30.2089996      -71.7839966      0.836824834     l, k, lat, lon, s
         114          10  -30.1779995      -71.1800003      0.227131292     l, k, lat, lon, s
