          17          56  -31.8880005      -72.2050018      0.735731542     l, k, lat, lon, s
          22          17  -31.8309994      -71.4039993      0.891844928     l, k, lat, lon, s
          22          38  -31.8139992      -71.8320007      0.852023482     l, k, lat, lon, s
          25          30  -31.7660007      -71.6660004      0.749563217     l, k, lat, lon, s
          33          35  -31.6180000      -71.7600021      0.860320687     l, k, lat, lon, s
          39          60  -31.4880009      -72.2620010       1.00000000     l, k, lat, lon, s
          44          40  -31.4160004      -71.8509979      0.997023165     l, k, lat, lon, s
          46          12  -31.4020004      -71.2809982      0.875893176     l, k, lat, lon, s
          51          46  -31.2849998      -71.9649963      0.896527350     l, k, lat, lon, s
          57          40  -31.1819992      -71.8379974      0.771764457     l, k, lat, lon, s
          57          48  -31.1749992      -72.0000000      0.716429591     l, k, lat, lon, s
          64          65  -31.0340004      -72.3359985      0.857984841     l, k, lat, lon, s
          66          50  -31.0109997      -72.0309982      0.838309705     l, k, lat, lon, s
          67          15  -31.0209999      -71.3229980      0.906298876     l, k, lat, lon, s
          75           3  -30.8859997      -71.0729980      0.894236684     l, k, lat, lon, s
          81           1  -30.7789993      -71.0279999      0.806448340     l, k, lat, lon, s
          86          55  -30.6459999      -72.1110001      0.936955631     l, k, lat, lon, s
          98          36  -30.4459991      -71.7160034      0.838015676     l, k, lat, lon, s
         102          55  -30.3579998      -72.0940018      0.931402087     l, k, lat, lon, s
         119           8  -30.0890007      -71.1360016      0.865004063     l, k, lat, lon, s
