          22          17  -31.8309994      -71.4039993      0.282908052     l, k, lat, lon, s
          22          38  -31.8139992      -71.8320007      0.865176082     l, k, lat, lon, s
          37          21  -31.5569992      -71.4720001      0.219923526     l, k, lat, lon, s
          39          60  -31.4880009      -72.2620010      0.649405122     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.261843473     l, k, lat, lon, s
          42          44  -31.4480000      -71.9339981      0.841987908     l, k, lat, lon, s
          44          40  -31.4160004      -71.8509979       1.00000000     l, k, lat, lon, s
          46          12  -31.4020004      -71.2809982      0.223752528     l, k, lat, lon, s
          57          40  -31.1819992      -71.8379974      0.722732544     l, k, lat, lon, s
          57          48  -31.1749992      -72.0000000      0.707070529     l, k, lat, lon, s
          67          15  -31.0209999      -71.3229980      0.272721022     l, k, lat, lon, s
          75           3  -30.8859997      -71.0729980      0.294270873     l, k, lat, lon, s
          75          54  -30.8449993      -72.1019974      0.648256183     l, k, lat, lon, s
          81           1  -30.7789993      -71.0279999      0.304385692     l, k, lat, lon, s
          82          14  -30.7520008      -71.2890015      0.261281550     l, k, lat, lon, s
          90          53  -30.5760002      -72.0660019      0.651176929     l, k, lat, lon, s
         111           6  -30.2350006      -71.1019974      0.243844718     l, k, lat, lon, s
         113          49  -30.1650009      -71.9619980      0.716346383     l, k, lat, lon, s
         117           1  -30.1299992      -70.9970016      0.275906086     l, k, lat, lon, s
         120          15  -30.0660000      -71.2750015      0.277577370     l, k, lat, lon, s
