          13          48  -31.9669991      -72.0459976      0.943389595     l, k, lat, lon, s
          19          15  -31.8859997      -71.3659973      0.239015043     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027      0.820947409     l, k, lat, lon, s
          32          35  -31.6359997      -71.7610016      0.990378439     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.869898498     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.805464923     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.693907320     l, k, lat, lon, s
          67          64  -30.9799995      -72.3119965      0.735913754     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.274388164     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.240487933     l, k, lat, lon, s
          74          49  -30.8680000      -72.0019989      0.741563380     l, k, lat, lon, s
          80          30  -30.7749996      -71.6129990      0.290893555     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967      0.278058797     l, k, lat, lon, s
          87          22  -30.6550007      -71.4449997      0.302783549     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035       1.00000000     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.319961309     l, k, lat, lon, s
         109          31  -30.2520008      -71.6060028      0.183421105     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.622207880     l, k, lat, lon, s
         118          44  -30.0790005      -71.8570023      0.816147983     l, k, lat, lon, s
         121          23  -30.0419998      -71.4339981      0.230870143     l, k, lat, lon, s
