          15          28  -31.9480000      -71.6350021      0.270721108     l, k, lat, lon, s
          17          34  -31.9069996      -71.7559967      0.927363932     l, k, lat, lon, s
          23          36  -31.7980003      -71.7910004      0.853460550     l, k, lat, lon, s
          30          10  -31.6919994      -71.2539978      0.218793154     l, k, lat, lon, s
          30          34  -31.6730003      -71.7429962      0.988714933     l, k, lat, lon, s
          31          14  -31.6709995      -71.3349991      0.215577081     l, k, lat, lon, s
          45          31  -31.4050007      -71.6669998      0.330467880     l, k, lat, lon, s
          46          44  -31.3759995      -71.9300003      0.829941213     l, k, lat, lon, s
          48          35  -31.3479996      -71.7450027       1.00000000     l, k, lat, lon, s
          51          21  -31.3050003      -71.4589996      0.262368023     l, k, lat, lon, s
          65           4  -31.0650005      -71.1019974      0.308472663     l, k, lat, lon, s
          77          15  -30.8409996      -71.3130035      0.270542055     l, k, lat, lon, s
          80          14  -30.7880001      -71.2910004      0.279987514     l, k, lat, lon, s
          93          18  -30.5499992      -71.3590012      0.292203873     l, k, lat, lon, s
          98          31  -30.4500008      -71.6159973      0.222836554     l, k, lat, lon, s
          99          49  -30.4169998      -71.9769974      0.765660107     l, k, lat, lon, s
         106          12  -30.3209991      -71.2269974      0.338715822     l, k, lat, lon, s
         117           6  -30.1270008      -71.0970001      0.295801401     l, k, lat, lon, s
         120          42  -30.0450001      -71.8150024      0.836509109     l, k, lat, lon, s
         121          12  -30.0499992      -71.2139969      0.327886075     l, k, lat, lon, s
