          21          14  -31.8509998      -71.3440018      0.371430159     l, k, lat, lon, s
          28          68  -31.6790009      -72.4369965      0.796129525     l, k, lat, lon, s
          34          70  -31.5690002      -72.4710007      0.931689024     l, k, lat, lon, s
          37          61  -31.5240002      -72.2850037      0.857717395     l, k, lat, lon, s
          42          63  -31.4319992      -72.3199997      0.889444828     l, k, lat, lon, s
          46          56  -31.3659992      -72.1729965      0.939668596     l, k, lat, lon, s
          48          44  -31.3400002      -71.9280014      0.919561803     l, k, lat, lon, s
          54          68  -31.2110004      -72.4079971      0.747039974     l, k, lat, lon, s
          56           9  -31.2240009      -71.2109985      0.555856764     l, k, lat, lon, s
          56          37  -31.2019997      -71.7779999      0.944507599     l, k, lat, lon, s
          59          46  -31.1399994      -71.9570007       1.00000000     l, k, lat, lon, s
          68          71  -30.9559994      -72.4530029      0.856687307     l, k, lat, lon, s
          69          52  -30.9549999      -72.0680008      0.722250342     l, k, lat, lon, s
          75          45  -30.8530006      -71.9209976      0.832024157     l, k, lat, lon, s
          77          51  -30.8120003      -72.0390015      0.915382326     l, k, lat, lon, s
          79          68  -30.7609997      -72.3799973      0.708088994     l, k, lat, lon, s
          83          32  -30.7199993      -71.6510010      0.257752687     l, k, lat, lon, s
          84          15  -30.7150002      -71.3069992      0.315075636     l, k, lat, lon, s
          90          67  -30.5629997      -72.3479996      0.810243368     l, k, lat, lon, s
         120           4  -30.0739994      -71.0550003      0.343149513     l, k, lat, lon, s
