           1          54  -32.1780014      -72.1959991      0.839507878     l, k, lat, lon, s
           6          17  -32.1189995      -71.4069977      0.787186682     l, k, lat, lon, s
           8          32  -32.0709991      -71.7229996      0.822230041     l, k, lat, lon, s
          17          48  -31.8950005      -72.0520020      0.668978393     l, k, lat, lon, s
          18          15  -31.9050007      -71.3539963       1.00000000     l, k, lat, lon, s
          18          45  -31.8799992      -71.9869995      0.842115343     l, k, lat, lon, s
          20          71  -31.8190002      -72.5339966      0.902562678     l, k, lat, lon, s
          24          50  -31.7670002      -72.0859985      0.895128131     l, k, lat, lon, s
          42          14  -31.4729996      -71.3109970      0.601734579     l, k, lat, lon, s
          47          16  -31.3810005      -71.3479996      0.950427055     l, k, lat, lon, s
          49          45  -31.3209991      -71.9550018      0.600081503     l, k, lat, lon, s
          51          48  -31.2819996      -72.0159988      0.717390835     l, k, lat, lon, s
          69          39  -30.9659996      -71.8089981      0.869822681     l, k, lat, lon, s
          70          23  -30.9610004      -71.4739990      0.847197473     l, k, lat, lon, s
          84          27  -30.7059994      -71.5439987      0.821308792     l, k, lat, lon, s
          86          49  -30.6509991      -72.0009995      0.808874905     l, k, lat, lon, s
          97          26  -30.4720001      -71.5110016      0.837723255     l, k, lat, lon, s
         106           8  -30.3239994      -71.1279984      0.828693509     l, k, lat, lon, s
         106          56  -30.2840004      -72.1250000      0.801001966     l, k, lat, lon, s
         115          20  -30.1529999      -71.3700027      0.826229632     l, k, lat, lon, s
