          17          56  -31.8880005      -72.2050018      0.450211823     l, k, lat, lon, s
          22          17  -31.8309994      -71.4039993      0.920216560     l, k, lat, lon, s
          22          38  -31.8139992      -71.8320007      0.768282115     l, k, lat, lon, s
          25          30  -31.7660007      -71.6660004      0.886772752     l, k, lat, lon, s
          33          35  -31.6180000      -71.7600021      0.807594955     l, k, lat, lon, s
          39          60  -31.4880009      -72.2620010      0.509563386     l, k, lat, lon, s
          44          40  -31.4160004      -71.8509979      0.922450125     l, k, lat, lon, s
          46          12  -31.4020004      -71.2809982      0.923600078     l, k, lat, lon, s
          51          46  -31.2849998      -71.9649963      0.534176409     l, k, lat, lon, s
          57          40  -31.1819992      -71.8379974      0.604768515     l, k, lat, lon, s
          57          48  -31.1749992      -72.0000000      0.591290712     l, k, lat, lon, s
          64          65  -31.0340004      -72.3359985      0.629801333     l, k, lat, lon, s
          66          50  -31.0109997      -72.0309982      0.698686898     l, k, lat, lon, s
          67          15  -31.0209999      -71.3229980      0.781902254     l, k, lat, lon, s
          75           3  -30.8859997      -71.0729980      0.935287595     l, k, lat, lon, s
          81           1  -30.7789993      -71.0279999       1.00000000     l, k, lat, lon, s
          86          55  -30.6459999      -72.1110001      0.505556703     l, k, lat, lon, s
          98          36  -30.4459991      -71.7160034      0.765076935     l, k, lat, lon, s
         102          55  -30.3579998      -72.0940018      0.577649832     l, k, lat, lon, s
         119           8  -30.0890007      -71.1360016      0.961304247     l, k, lat, lon, s
