          10          32  -32.0349998      -71.7220001      0.795430839     l, k, lat, lon, s
          12          52  -31.9820004      -72.1279984      0.629487097     l, k, lat, lon, s
          14          52  -31.9459991      -72.1259995      0.687777877     l, k, lat, lon, s
          24          62  -31.7570000      -72.3190002      0.389128268     l, k, lat, lon, s
          25          61  -31.7399998      -72.2979965      0.355915576     l, k, lat, lon, s
          30          37  -31.6709995      -71.8040009      0.763516068     l, k, lat, lon, s
          49          18  -31.3430004      -71.4000015      0.919166744     l, k, lat, lon, s
          64          71  -31.0279999      -72.4570007      0.563850045     l, k, lat, lon, s
          68          10  -31.0070000      -71.2210007       1.00000000     l, k, lat, lon, s
          84          62  -30.6760006      -72.2539978      0.564985275     l, k, lat, lon, s
          88          60  -30.6060009      -72.2089996      0.688031673     l, k, lat, lon, s
          92          22  -30.5650005      -71.4410019      0.885022521     l, k, lat, lon, s
          93          13  -30.5540009      -71.2590027      0.815613151     l, k, lat, lon, s
          95           6  -30.5230007      -71.1159973      0.952946484     l, k, lat, lon, s
         101          20  -30.4050007      -71.3919983      0.992040575     l, k, lat, lon, s
         105          37  -30.3190002      -71.7300034      0.863927722     l, k, lat, lon, s
         106           2  -30.3279991      -71.0260010      0.867590666     l, k, lat, lon, s
         110           9  -30.2509995      -71.1630020      0.968407869     l, k, lat, lon, s
         120          39  -30.0470009      -71.7549973      0.905842960     l, k, lat, lon, s
         121          54  -30.0160007      -72.0540009      0.830057144     l, k, lat, lon, s
