           1          49  -32.1829987      -72.0790024      0.734080553     l, k, lat, lon, s
          16          45  -31.9160004      -71.9810028      0.519201696     l, k, lat, lon, s
          18          30  -31.8929996      -71.6729965      0.676009774     l, k, lat, lon, s
          23           6  -31.8209991      -71.1790009       1.00000000     l, k, lat, lon, s
          26          31  -31.7479992      -71.6859970      0.725560308     l, k, lat, lon, s
          27          43  -31.7199993      -71.9290009      0.514320254     l, k, lat, lon, s
          30          64  -31.6469994      -72.3529968      0.665597677     l, k, lat, lon, s
          39          50  -31.4969997      -72.0589981      0.558416605     l, k, lat, lon, s
          49          58  -31.3099995      -72.2109985      0.556723475     l, k, lat, lon, s
          64          12  -31.0779991      -71.2649994      0.869592965     l, k, lat, lon, s
          64          54  -31.0429993      -72.1139984      0.539455056     l, k, lat, lon, s
          66           7  -31.0450001      -71.1620026      0.820123076     l, k, lat, lon, s
          74          26  -30.8869991      -71.5380020      0.790713727     l, k, lat, lon, s
          79          20  -30.8010006      -71.4120026      0.881121337     l, k, lat, lon, s
          86          66  -30.6359997      -72.3320007      0.555179775     l, k, lat, lon, s
         102          21  -30.3859997      -71.4110031      0.814051092     l, k, lat, lon, s
         105           3  -30.3449993      -71.0469971      0.944950342     l, k, lat, lon, s
         107          21  -30.2959995      -71.4069977      0.832338095     l, k, lat, lon, s
         117          22  -30.1149998      -71.4179993      0.805081129     l, k, lat, lon, s
         121          65  -30.0070000      -72.2740021      0.574659288     l, k, lat, lon, s
