          29           2  -31.7159996      -71.0920029      0.871467233     l, k, lat, lon, s
          29          27  -31.6970005      -71.6009979      0.766400158     l, k, lat, lon, s
          32          41  -31.6310005      -71.8830032      0.532638550     l, k, lat, lon, s
          35          58  -31.5620003      -72.2259979      0.677373767     l, k, lat, lon, s
          38           2  -31.5529995      -71.0849991      0.695198953     l, k, lat, lon, s
          40          34  -31.4930000      -71.7330017      0.748252988     l, k, lat, lon, s
          46          48  -31.3729992      -72.0110016      0.754648268     l, k, lat, lon, s
          46          60  -31.3619995      -72.2539978      0.638454497     l, k, lat, lon, s
          60          11  -31.1499996      -71.2480011      0.926452637     l, k, lat, lon, s
          66          56  -31.0060005      -72.1520004      0.558479786     l, k, lat, lon, s
          71          60  -30.9120007      -72.2269974      0.678091168     l, k, lat, lon, s
          74          59  -30.8589993      -72.2040024      0.640474379     l, k, lat, lon, s
          76           8  -30.8640003      -71.1729965      0.976232231     l, k, lat, lon, s
          79          48  -30.7779999      -71.9769974      0.612630546     l, k, lat, lon, s
          87          70  -30.6149998      -72.4110031      0.512470722     l, k, lat, lon, s
          89          17  -30.6229992      -71.3430023      0.967542410     l, k, lat, lon, s
         100          15  -30.4260006      -71.2929993      0.858019829     l, k, lat, lon, s
         102          47  -30.3649998      -71.9329987      0.523243725     l, k, lat, lon, s
         102          65  -30.3490009      -72.2949982      0.605487347     l, k, lat, lon, s
         115           2  -30.1660004      -71.0189972       1.00000000     l, k, lat, lon, s
