           2          62  -32.1529999      -72.3440018      0.826508582     l, k, lat, lon, s
           4          24  -32.1500015      -71.5640030      0.691902339     l, k, lat, lon, s
          25          15  -31.7779999      -71.3610001      0.690489352     l, k, lat, lon, s
          36          21  -31.5750008      -71.4729996      0.736885786     l, k, lat, lon, s
          40          12  -31.5100002      -71.2860031      0.674517214     l, k, lat, lon, s
          42          25  -31.4640007      -71.5479965      0.672685385     l, k, lat, lon, s
          47          70  -31.3349991      -72.4560013      0.870928943     l, k, lat, lon, s
          54          67  -31.2119999      -72.3880005      0.336800426     l, k, lat, lon, s
          55          56  -31.2040005      -72.1640015       1.00000000     l, k, lat, lon, s
          65           3  -31.0660000      -71.0820007      0.701134264     l, k, lat, lon, s
          74          34  -30.8799992      -71.6999969      0.684011102     l, k, lat, lon, s
          86          50  -30.6509991      -72.0100021      0.580304682     l, k, lat, lon, s
          88           8  -30.6480007      -71.1630020      0.661835670     l, k, lat, lon, s
          88          29  -30.6320000      -71.5849991      0.904084086     l, k, lat, lon, s
          96          56  -30.4650002      -72.1200027      0.668306231     l, k, lat, lon, s
         112          17  -30.2089996      -71.3219986      0.801684499     l, k, lat, lon, s
         115          16  -30.1550007      -71.2990036      0.872536898     l, k, lat, lon, s
         116          30  -30.1270008      -71.5790024      0.842989624     l, k, lat, lon, s
         117          44  -30.0970001      -71.8580017      0.557407677     l, k, lat, lon, s
         119          36  -30.0680008      -71.6959991      0.818263829     l, k, lat, lon, s
