           2          17  -32.1910019      -71.4229965      0.827027798     l, k, lat, lon, s
           3          37  -32.1570015      -71.8310013      0.747251570     l, k, lat, lon, s
          10          36  -32.0320015      -71.8040009      0.680135548     l, k, lat, lon, s
          17           2  -31.9319992      -71.1029968      0.761578798     l, k, lat, lon, s
          27          13  -31.7439995      -71.3180008      0.715627909     l, k, lat, lon, s
          40          46  -31.4829998      -71.9769974      0.996246278     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.677196383     l, k, lat, lon, s
          43          44  -31.4300003      -71.9329987       1.00000000     l, k, lat, lon, s
          45          66  -31.3750000      -72.3769989      0.644951165     l, k, lat, lon, s
          47          51  -31.3519993      -72.0709991      0.572897971     l, k, lat, lon, s
          54          53  -31.2240009      -72.1039963      0.871952832     l, k, lat, lon, s
          59          61  -31.1270008      -72.2610016      0.702025831     l, k, lat, lon, s
          69          56  -30.9519997      -72.1490021      0.726154923     l, k, lat, lon, s
          79          35  -30.7889996      -71.7149963      0.552510619     l, k, lat, lon, s
          79          64  -30.7639999      -72.2990036      0.699242234     l, k, lat, lon, s
          80          62  -30.7479992      -72.2580032      0.652170241     l, k, lat, lon, s
          91          48  -30.5620003      -71.9649963      0.886121929     l, k, lat, lon, s
         109           5  -30.2719994      -71.0839996      0.783017039     l, k, lat, lon, s
         117          25  -30.1119995      -71.4779968      0.767102182     l, k, lat, lon, s
         121          19  -30.0450001      -71.3539963      0.822856963     l, k, lat, lon, s
