           3          46  -32.1489983      -72.0149994      0.933105946     l, k, lat, lon, s
           3          55  -32.1409988      -72.1989975      0.756425917     l, k, lat, lon, s
           6          13  -32.1220016      -71.3379974      0.675317943     l, k, lat, lon, s
           8          27  -32.0750008      -71.6220016      0.928511202     l, k, lat, lon, s
          12          69  -31.9669991      -72.4749985      0.631394327     l, k, lat, lon, s
          36          51  -31.5510006      -72.0830002      0.876465619     l, k, lat, lon, s
          37          16  -31.5610008      -71.3700027      0.802895308     l, k, lat, lon, s
          40          29  -31.4969997      -71.6320038      0.851382732     l, k, lat, lon, s
          41          24  -31.4829998      -71.5289993      0.801533401     l, k, lat, lon, s
          42          40  -31.4519997      -71.8529968      0.898837209     l, k, lat, lon, s
          56          53  -31.1879997      -72.1019974      0.608686209     l, k, lat, lon, s
          58          15  -31.1830006      -71.3310013      0.660856485     l, k, lat, lon, s
          60          50  -31.1189995      -72.0370026      0.732130826     l, k, lat, lon, s
          75          70  -30.8309994      -72.4250031      0.858060002     l, k, lat, lon, s
          89          25  -30.6170006      -71.5039978      0.819864154     l, k, lat, lon, s
          94          63  -30.4950008      -72.2630005      0.802586973     l, k, lat, lon, s
         100          29  -30.4160004      -71.5739975      0.814200163     l, k, lat, lon, s
         110          51  -30.2169991      -72.0049973      0.740952194     l, k, lat, lon, s
         111          21  -30.2240009      -71.4029999       1.00000000     l, k, lat, lon, s
         119           4  -30.0919991      -71.0559998      0.890030146     l, k, lat, lon, s
