           5          12  -32.1409988      -71.3180008      0.786753893     l, k, lat, lon, s
          14          47  -31.9500008      -72.0240021      0.699870288     l, k, lat, lon, s
          22          13  -31.8339996      -71.3229980       1.00000000     l, k, lat, lon, s
          28          10  -31.7280006      -71.2559967      0.888078272     l, k, lat, lon, s
          30          34  -31.6730003      -71.7429962      0.677596629     l, k, lat, lon, s
          48          48  -31.3369999      -72.0090027      0.640425682     l, k, lat, lon, s
          64          11  -31.0779991      -71.2440033      0.648847461     l, k, lat, lon, s
          71          24  -30.9419994      -71.5009995      0.615940034     l, k, lat, lon, s
          79          13  -30.8059998      -71.2710037      0.731566489     l, k, lat, lon, s
          85          62  -30.6580009      -72.2529984      0.559522986     l, k, lat, lon, s
          86          10  -30.6830006      -71.2050018      0.690381825     l, k, lat, lon, s
          86          25  -30.6709995      -71.5070038      0.532818913     l, k, lat, lon, s
          91          37  -30.5709991      -71.7429962      0.625301301     l, k, lat, lon, s
          91          64  -30.5480003      -72.2860031      0.780430973     l, k, lat, lon, s
          97          30  -30.4689999      -71.5970001      0.661441088     l, k, lat, lon, s
         101          12  -30.4109993      -71.2320023      0.656630039     l, k, lat, lon, s
         102          62  -30.3519993      -72.2340012      0.757552505     l, k, lat, lon, s
         106          42  -30.2970009      -71.8290024      0.768054724     l, k, lat, lon, s
         116          15  -30.1380005      -71.2779999      0.679184496     l, k, lat, lon, s
         120           4  -30.0739994      -71.0550003      0.648124278     l, k, lat, lon, s
