           4          25  -32.1489983      -71.5849991      0.831194699     l, k, lat, lon, s
          10          59  -32.0120010      -72.2740021      0.451344848     l, k, lat, lon, s
          11          20  -32.0270004      -71.4759979       1.00000000     l, k, lat, lon, s
          11          52  -32.0000000      -72.1299973      0.478338361     l, k, lat, lon, s
          26          45  -31.7360001      -71.9710007      0.559545994     l, k, lat, lon, s
          29          47  -31.6800003      -72.0090027      0.625003576     l, k, lat, lon, s
          40          48  -31.4810009      -72.0169983      0.456410050     l, k, lat, lon, s
          42          38  -31.4540005      -71.8119965      0.783374488     l, k, lat, lon, s
          49          22  -31.3400002      -71.4810028      0.977629066     l, k, lat, lon, s
          55          46  -31.2129993      -71.9609985      0.661583960     l, k, lat, lon, s
          61          65  -31.0879993      -72.3389969      0.706984043     l, k, lat, lon, s
          72          30  -30.9190006      -71.6210022      0.886713624     l, k, lat, lon, s
          75          16  -30.8759995      -71.3349991      0.764664948     l, k, lat, lon, s
          78          21  -30.8180008      -71.4339981      0.883530617     l, k, lat, lon, s
          84          47  -30.6889992      -71.9520035      0.629968643     l, k, lat, lon, s
          86          46  -30.6539993      -71.9290009      0.563151777     l, k, lat, lon, s
          88          51  -30.6140003      -72.0279999      0.830573440     l, k, lat, lon, s
          89          30  -30.6130009      -71.6050034      0.698559940     l, k, lat, lon, s
         105          60  -30.2989998      -72.1910019      0.659249127     l, k, lat, lon, s
         111          40  -30.2089996      -71.7839966      0.766389132     l, k, lat, lon, s
