          22          17  -31.8309994      -71.4039993      0.912662566     l, k, lat, lon, s
          22          38  -31.8139992      -71.8320007      0.703135431     l, k, lat, lon, s
          37          21  -31.5569992      -71.4720001      0.814366817     l, k, lat, lon, s
          39          60  -31.4880009      -72.2620010      0.560902953     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.926729918     l, k, lat, lon, s
          42          44  -31.4480000      -71.9339981      0.535407126     l, k, lat, lon, s
          44          40  -31.4160004      -71.8509979      0.690056205     l, k, lat, lon, s
          46          12  -31.4020004      -71.2809982      0.886922181     l, k, lat, lon, s
          57          40  -31.1819992      -71.8379974      0.584018767     l, k, lat, lon, s
          57          48  -31.1749992      -72.0000000      0.726784170     l, k, lat, lon, s
          67          15  -31.0209999      -71.3229980      0.881927073     l, k, lat, lon, s
          75           3  -30.8859997      -71.0729980      0.964470029     l, k, lat, lon, s
          75          54  -30.8449993      -72.1019974      0.725418806     l, k, lat, lon, s
          81           1  -30.7789993      -71.0279999      0.977813900     l, k, lat, lon, s
          82          14  -30.7520008      -71.2890015      0.869986057     l, k, lat, lon, s
          90          53  -30.5760002      -72.0660019      0.685151339     l, k, lat, lon, s
         111           6  -30.2350006      -71.1019974      0.777783811     l, k, lat, lon, s
         113          49  -30.1650009      -71.9619980      0.734538376     l, k, lat, lon, s
         117           1  -30.1299992      -70.9970016      0.801536620     l, k, lat, lon, s
         120          15  -30.0660000      -71.2750015      0.874871910     l, k, lat, lon, s
