           3          12  -32.1769981      -71.3199997      0.974584639     l, k, lat, lon, s
          10          32  -32.0349998      -71.7220001      0.629880250     l, k, lat, lon, s
          23          34  -31.7989998      -71.7500000      0.751821756     l, k, lat, lon, s
          30          37  -31.6709995      -71.8040009      0.731822789     l, k, lat, lon, s
          35          47  -31.5720005      -72.0019989      0.567238688     l, k, lat, lon, s
          49          18  -31.3430004      -71.4000015      0.863903224     l, k, lat, lon, s
          59           7  -31.1709995      -71.1679993       1.00000000     l, k, lat, lon, s
          67          63  -30.9810009      -72.2919998      0.671075463     l, k, lat, lon, s
          68          10  -31.0070000      -71.2210007      0.872147262     l, k, lat, lon, s
          68          49  -30.9759998      -72.0080032      0.738636792     l, k, lat, lon, s
          84          69  -30.6700001      -72.3949966      0.406172633     l, k, lat, lon, s
          91          59  -30.5529995      -72.1859970      0.571559787     l, k, lat, lon, s
          93          13  -30.5540009      -71.2590027      0.837093592     l, k, lat, lon, s
          95           6  -30.5230007      -71.1159973      0.893686175     l, k, lat, lon, s
          98          59  -30.4260006      -72.1780014      0.886148095     l, k, lat, lon, s
         101          20  -30.4050007      -71.3919983      0.811221242     l, k, lat, lon, s
         106           2  -30.3279991      -71.0260010      0.845891297     l, k, lat, lon, s
         106          42  -30.2970009      -71.8290024      0.774857581     l, k, lat, lon, s
         110           9  -30.2509995      -71.1630020      0.850682557     l, k, lat, lon, s
         121          54  -30.0160007      -72.0540009      0.790242255     l, k, lat, lon, s
