           4          67  -32.1119995      -72.4440002      0.564193606     l, k, lat, lon, s
          14          32  -31.9629993      -71.7180023      0.777345538     l, k, lat, lon, s
          17          17  -31.9209995      -71.4089966      0.962434947     l, k, lat, lon, s
          19          34  -31.8710003      -71.7539978      0.571056724     l, k, lat, lon, s
          20          14  -31.8689995      -71.3450012       1.00000000     l, k, lat, lon, s
          20          44  -31.8449993      -71.9570007      0.466040015     l, k, lat, lon, s
          33          12  -31.6359997      -71.2919998      0.698085904     l, k, lat, lon, s
          35          34  -31.5830002      -71.7379990      0.589849591     l, k, lat, lon, s
          38          54  -31.5119991      -72.1409988      0.502048314     l, k, lat, lon, s
          41          41  -31.4689999      -71.8740005      0.416562319     l, k, lat, lon, s
          50          42  -31.3059998      -71.8850021      0.695425570     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.505374253     l, k, lat, lon, s
          67           8  -31.0259991      -71.1809998      0.701346040     l, k, lat, lon, s
          70          64  -30.9260006      -72.3089981      0.383177161     l, k, lat, lon, s
          75          42  -30.8560009      -71.8600006      0.386591315     l, k, lat, lon, s
          98           5  -30.4699993      -71.0940018      0.787410915     l, k, lat, lon, s
         100          59  -30.3899994      -72.1760025      0.366200745     l, k, lat, lon, s
         109          45  -30.2399998      -71.8860016      0.501295209     l, k, lat, lon, s
         113          12  -30.1940002      -71.2210007      0.462699831     l, k, lat, lon, s
         114          11  -30.1770000      -71.1999969      0.397199422     l, k, lat, lon, s
