          18          50  -31.8759995      -72.0810013      0.882866263     l, k, lat, lon, s
          18          52  -31.8740005      -72.1220016      0.898959756     l, k, lat, lon, s
          21          14  -31.8509998      -71.3440018      0.230440035     l, k, lat, lon, s
          24          17  -31.7950001      -71.4029999      0.217476577     l, k, lat, lon, s
          26          30  -31.7479992      -71.6660004      0.218347624     l, k, lat, lon, s
          34          70  -31.5690002      -72.4710007      0.892119527     l, k, lat, lon, s
          37          61  -31.5240002      -72.2850037      0.957280934     l, k, lat, lon, s
          48          44  -31.3400002      -71.9280014      0.853472054     l, k, lat, lon, s
          51           9  -31.3139992      -71.2149963      0.246965289     l, k, lat, lon, s
          54          68  -31.2110004      -72.4079971      0.645828128     l, k, lat, lon, s
          56           9  -31.2240009      -71.2109985      0.194789961     l, k, lat, lon, s
          56          37  -31.2019997      -71.7779999      0.852400124     l, k, lat, lon, s
          70          15  -30.9669991      -71.3199997      0.209892333     l, k, lat, lon, s
          79          68  -30.7609997      -72.3799973      0.842330694     l, k, lat, lon, s
          80          50  -30.7590008      -72.0159988      0.982378125     l, k, lat, lon, s
          83          32  -30.7199993      -71.6510010      0.380989373     l, k, lat, lon, s
          84          15  -30.7150002      -71.3069992      0.242728725     l, k, lat, lon, s
          84          37  -30.6980000      -71.7500000      0.910618722     l, k, lat, lon, s
          94          10  -30.5380001      -71.1979980      0.260473669     l, k, lat, lon, s
          94          48  -30.5079994      -71.9619980       1.00000000     l, k, lat, lon, s
