          10          30  -32.0369987      -71.6809998      0.216214523     l, k, lat, lon, s
          28          25  -31.7159996      -71.5619965      0.228255078     l, k, lat, lon, s
          31          19  -31.6669998      -71.4369965      0.235577941     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.221917227     l, k, lat, lon, s
          36          16  -31.5790005      -71.3710022      0.236974403     l, k, lat, lon, s
          37          12  -31.5639992      -71.2890015      0.216892242     l, k, lat, lon, s
          38          11  -31.5470009      -71.2679977      0.202218294     l, k, lat, lon, s
          54          59  -31.2189999      -72.2259979      0.869945347     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.897343457     l, k, lat, lon, s
          64          58  -31.0400009      -72.1949997      0.891701281     l, k, lat, lon, s
          72          53  -30.8999996      -72.0849991      0.900433302     l, k, lat, lon, s
          75          17  -30.8759995      -71.3560028      0.310844481     l, k, lat, lon, s
          85          26  -30.6879997      -71.5279999      0.367322117     l, k, lat, lon, s
          88          38  -30.6250000      -71.7659988      0.958176017     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992       1.00000000     l, k, lat, lon, s
         103          43  -30.3500004      -71.8519974      0.682506740     l, k, lat, lon, s
         114           2  -30.1840000      -71.0199966      0.236139655     l, k, lat, lon, s
         115          55  -30.1240005      -72.0800018      0.855573595     l, k, lat, lon, s
         118          12  -30.1040001      -71.2170029      0.228941515     l, k, lat, lon, s
         120          33  -30.0520000      -71.6350021      0.247175857     l, k, lat, lon, s
