           4          67  -32.1119995      -72.4440002       1.00000000     l, k, lat, lon, s
          14          32  -31.9629993      -71.7180023      0.388152212     l, k, lat, lon, s
          17          17  -31.9209995      -71.4089966      0.331066787     l, k, lat, lon, s
          19          34  -31.8710003      -71.7539978      0.836890280     l, k, lat, lon, s
          20          14  -31.8689995      -71.3450012      0.323747873     l, k, lat, lon, s
          20          44  -31.8449993      -71.9570007      0.939706504     l, k, lat, lon, s
          33          12  -31.6359997      -71.2919998      0.189624831     l, k, lat, lon, s
          35          34  -31.5830002      -71.7379990      0.856413841     l, k, lat, lon, s
          38          54  -31.5119991      -72.1409988      0.801814437     l, k, lat, lon, s
          41          41  -31.4689999      -71.8740005      0.741997838     l, k, lat, lon, s
          50          42  -31.3059998      -71.8850021      0.964373529     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.158256039     l, k, lat, lon, s
          67           8  -31.0259991      -71.1809998      0.231271639     l, k, lat, lon, s
          70          64  -30.9260006      -72.3089981      0.834703922     l, k, lat, lon, s
          75          42  -30.8560009      -71.8600006      0.801065564     l, k, lat, lon, s
          98           5  -30.4699993      -71.0940018      0.266169667     l, k, lat, lon, s
         100          59  -30.3899994      -72.1760025      0.792474389     l, k, lat, lon, s
         109          45  -30.2399998      -71.8860016      0.836331546     l, k, lat, lon, s
         113          12  -30.1940002      -71.2210007      0.274183720     l, k, lat, lon, s
         114          11  -30.1770000      -71.1999969      0.271578610     l, k, lat, lon, s
